Assemblage_Name	4-2-2	6393116-0-3	794572-4848007-7707738	794572-1-7707738	0-1-1	0-1-7707738	2-0-3	2-0-7801918	9068267-1-1	0-2985804-1	794572-1-7354735	2-6515027-7801918
assemblage-148-563	0	55	0	0	170	0	0	121	45	0	0	109
assemblage-147-72	64	0	0	0	114	0	0	68	103	0	0	151
assemblage-179-425	0	0	0	216	110	0	0	0	0	0	49	125
assemblage-37-471	0	0	0	0	169	79	0	92	0	0	0	160
assemblage-498-245	0	0	0	224	114	0	0	0	0	0	46	116
assemblage-42-508	0	63	0	114	67	0	140	0	0	0	0	116
assemblage-467-309	0	0	0	0	180	0	0	100	63	0	0	157
assemblage-180-513	0	0	0	146	161	0	0	0	0	0	0	193
assemblage-198-6	0	0	0	134	183	0	0	0	0	0	0	183
assemblage-164-505	0	0	0	216	99	0	0	0	0	0	62	123
assemblage-281-257	0	0	0	96	131	0	80	0	0	0	0	193
assemblage-507-408	0	0	0	0	197	50	0	83	0	0	0	170
assemblage-400-14	0	0	0	0	148	0	92	103	0	0	0	157
assemblage-237-234	0	0	0	90	149	0	75	0	0	0	0	186
assemblage-506-26	0	0	0	0	97	0	73	178	0	0	0	152
assemblage-398-392	0	0	0	164	124	0	0	0	0	0	93	119
assemblage-289-483	0	0	0	84	149	0	83	0	0	0	0	184
assemblage-417-229	53	0	0	0	120	0	0	51	110	0	0	166
assemblage-256-179	0	0	0	0	67	0	88	153	0	0	0	192
assemblage-286-325	0	0	0	0	57	0	114	168	0	0	0	161
assemblage-246-1	0	0	0	159	116	0	0	0	0	0	85	140
assemblage-369-327	0	0	0	139	210	0	0	0	0	0	0	151
assemblage-477-28	0	0	0	78	135	0	93	0	0	0	0	194
assemblage-480-269	50	0	0	0	125	0	0	59	104	0	0	162
assemblage-22-159	0	0	0	202	116	0	0	0	0	0	61	121
assemblage-422-376	0	0	0	174	143	0	0	0	0	0	76	107
assemblage-296-521	0	0	0	123	206	0	0	0	0	0	0	171
assemblage-169-359	0	0	0	0	106	0	83	128	0	0	0	183
assemblage-441-186	0	0	0	158	152	0	0	0	0	0	67	123
assemblage-497-197	0	0	0	173	155	0	0	0	0	0	79	93
assemblage-30-425	0	0	0	140	194	0	0	0	0	0	0	166
