Assemblage_Name	4-2-1	1379634-7433155-830219	1379634-7433155-4867603	2609812-7433155-830219	1627570-4740063-8820117	1563630-7433155-830219	0-0-3	0-7369661-8796763	0-0-5374190	2989326-5984114-8820117	0-0-2251294	1379634-7433155-1	0-0-8796763	0-2-1	828719-7433155-830219	0-0-4690881	2989326-2-8820117	1298303-7433155-830219	1379634-7433155-6228581	1379634-7433155-7688862	820725-7433155-6228581	3798206-0-8193297	4715882-0-8796763	296210-4-3	5145313-7433155-7688862
assemblage-373-410	55	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	120	0	0	0	0	204
assemblage-291-462	0	0	0	64	0	0	0	0	77	0	0	0	142	0	0	0	0	0	0	89	0	0	0	0	128
assemblage-187-144	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	78	0	0	0	0	292
assemblage-380-49	0	0	0	65	0	0	0	0	124	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	216
assemblage-527-100	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	362
assemblage-11-442	0	0	0	0	0	0	0	0	112	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	295
assemblage-127-296	0	0	0	0	0	0	77	0	0	0	0	0	0	48	0	0	0	0	0	0	0	54	0	0	321
assemblage-455-443	0	0	0	0	0	0	0	0	110	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	289
assemblage-470-274	0	70	0	0	0	0	0	0	0	0	0	0	91	0	0	0	56	0	0	55	0	0	0	0	228
assemblage-341-126	67	72	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	63	0	0	0	0	253
assemblage-420-503	0	0	0	112	0	0	0	0	108	0	0	0	92	0	0	0	0	0	0	94	0	0	0	0	94
assemblage-122-530	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	436
assemblage-419-93	0	0	0	0	0	72	0	0	0	0	0	0	140	0	0	0	0	89	0	82	0	0	47	0	70
assemblage-313-285	0	0	0	0	0	0	67	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	362
assemblage-325-388	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	357
